2.0  4.9 2.4 100 1.11 5.06 322.2
4.19 4.12 2.02 84 0.934 4.19 261.8
80.385 2.85 1.39 58 0.645 2.90 174.2
91.1876 2.82 1.38 57 0.638 2.86 172.1
125 2.74 1.34 56 0.621 2.79 167.0
163.3 2.68 1.31 55 0.608 2.73 163.3
1000 2.40 1.17 49 0.543 2.41 148.1
4.0e+12 1.27 0.61 26 0.281 1.16 82.6
